flight_id,aircraft_type,zero_fuel_weight_kg,planned_duration_min,planned_altitude_ft,max_altitude_ft,avg_speed_kts,median_speed_kts,std_dev_altitude_ft,duration_climb_min,duration_cruise_min,avg_fuel_flow_climb_kgs,avg_fuel_flow_cruise_kgs,avg_headwind_kts,departure_temperature_c,had_bad_weather,engine_health_modifier,flight_path_deviation_pct,weight_x_wind,alt_x_temp,total_fuel_consumed_kg
FLIGHT_0001,A330,165034,469,33077,33016,410,410,50.34,32.24,403.76,8.65,5.46,-1.84,26,1,1.059,0.98,-304041.59,860002,160856.1
FLIGHT_0002,A330,172899,671,30088,30069,411,411,112.74,29.28,611.38,9.01,5.64,26.2,22,0,1.033,1.13,4529234.63,661936,262680.16
FLIGHT_0003,B737,46649,160,37388,37153,461,463,137.45,38.75,79.26,4.65,3.21,-19.98,25,0,0.994,1.15,-932233.78,934700,23737.62
FLIGHT_0004,B777,134384,558,37874,38327,435,434,29.1,38.99,480.06,7.15,5.04,-4.05,31,0,1.034,0.29,-544151.36,1174094,166997.25
FLIGHT_0005,B777,156561,693,30348,30378,428,427,49.7,29.99,633.52,7.49,5.33,8.31,23,0,1.05,0.25,1301492.28,698004,238893.91
FLIGHT_0006,A330,147931,363,36261,36535,400,400,22.93,38.55,287.08,8.27,5.17,29.29,27,0,1.064,0.92,4333632.26,979047,136481.98
FLIGHT_0007,B737,57845,97,32596,32387,406,405,53.31,29.92,37.26,5.08,3.42,9.86,32,0,1.064,1.99,570623.07,1043072,21204.81
FLIGHT_0008,A330,136032,628,34990,34977,431,431,93.39,35.81,558.51,7.95,5.13,24.36,30,1,1.018,0.14,3314341.52,1049700,219354.41
FLIGHT_0009,A320,47873,81,31647,32074,476,474,37.6,33.48,13.2,4.75,3.06,24.52,27,1,1.048,1.79,1173767.6,854469,17697.85
FLIGHT_0010,A330,164588,444,31546,31961,471,472,131.15,34.07,375.47,7.76,5.46,22.9,28,1,1.0,0.11,3768590.24,883288,156933.36
FLIGHT_0011,A320,47804,167,36744,36350,434,436,115.74,39.39,85.82,4.35,3.01,-14.27,22,1,1.013,2.82,-682128.15,808368,25215.07
FLIGHT_0012,B777,146709,643,40422,40873,423,421,108.99,42.18,558.84,7.47,5.09,1.87,32,1,1.012,0.83,274601.43,1293504,199575.7
FLIGHT_0013,B737,51438,219,38871,39081,439,441,101.93,40.19,141.6,4.78,3.28,26.8,24,1,1.042,2.21,1378687.94,932904,53640.59
FLIGHT_0014,A320,51340,115,32446,32012,451,451,25.58,35.28,45.68,5.07,3.22,13.52,26,0,1.026,1.51,693962.26,843596,24504.01
FLIGHT_0015,A320,64775,106,33295,33777,441,441,70.86,33.96,40.78,5.25,3.62,22.66,34,1,1.002,1.02,1467881.21,1132030,25168.13
FLIGHT_0016,A330,164762,409,34399,34665,434,436,129.89,36.1,339.84,8.49,5.55,22.78,32,1,1.052,0.53,3752784.95,1100768,157558.14
FLIGHT_0017,A320,50162,93,34078,33587,428,428,106.41,32.0,27.54,4.56,3.24,-2.97,32,0,1.063,0.7,-148997.22,1090496,16793.97
FLIGHT_0018,A330,127553,711,38726,38261,425,423,76.49,37.32,639.67,6.65,4.74,8.78,24,0,1.046,0.35,1120331.83,929424,218777.05
FLIGHT_0019,B777,158055,368,32776,33061,449,449,65.66,31.08,304.72,8.33,5.24,-16.94,33,0,1.051,2.94,-2678156.5,1081608,113532.8
